path,doc_id,title,series,product,source_tier,recency_class,version_scope,last_verified,sections,section_ids,words,tags
langchain/LC-04-structured-output.md,LC-04,LangChain — Structured Output,LC,LangChain,1,current,langchain 1.x; strict= requires langchain >=1.2,2026-08-13,6,LC-04.1;LC-04.2;LC-04.3;LC-04.4;LC-04.5;LC-04.6,715,structured-output;response_format;ProviderStrategy;ToolStrategy;pydantic;json-schema;validation;retries
langchain/LC-05-agents-create-agent.md,LC-05,LangChain — Agents (create_agent),LC,LangChain,1,current,langchain 1.x,2026-08-13,6,LC-05.1;LC-05.2;LC-05.3;LC-05.4;LC-05.5;LC-05.6,754,create_agent;agent-loop;checkpointer;store;context_schema;state_schema;migration;AgentExecutor;create_react_agent
langchain/LC-06-middleware.md,LC-06,LangChain — Middleware System,LC,LangChain,1,current,langchain 1.x,2026-08-13,4,LC-06.1;LC-06.2;LC-06.3;LC-06.4,798,middleware;hooks;SummarizationMiddleware;HumanInTheLoopMiddleware;PIIMiddleware;guardrails;retry;fallback;context-editing
langchain/LC-07-retrieval-and-rag.md,LC-07,LangChain — Retrieval & RAG,LC,LangChain,1,current,"langchain 1.x, langchain-text-splitters 1.x",2026-08-13,6,LC-07.1;LC-07.2;LC-07.3;LC-07.4;LC-07.5;LC-07.6,722,rag;retrieval;embeddings;vector-store;retriever;text-splitter;document-loader;agentic-rag
langchain/LC-08-deep-agents.md,LC-08,LangChain — Deep Agents,LC,LangChain,1,current,deepagents 0.7.5 (Python >=3.11),2026-08-13,5,LC-08.1;LC-08.2;LC-08.3;LC-08.4;LC-08.5,649,deepagents;create_deep_agent;agent-harness;subagents;filesystem;AGENTS.md;interrupt_on;skills
langgraph/LG-01-overview-and-core-model.md,LG-01,LangGraph — Overview & Core Model,LG,LangGraph,1,current,langgraph 1.x (verified 1.2.11),2026-08-13,5,LG-01.1;LG-01.2;LG-01.3;LG-01.4;LG-01.5,661,overview;pregel;durable-execution;orchestration;positioning;case-studies
langgraph/LG-02-graph-api.md,LG-02,"LangGraph — Graph API (StateGraph, nodes, edges)",LG,LangGraph,1,current,langgraph 1.x,2026-08-13,6,LG-02.1;LG-02.2;LG-02.3;LG-02.4;LG-02.5;LG-02.6,658,StateGraph;add_node;add_edge;add_conditional_edges;START;END;compile;input_schema;output_schema;parallel
langgraph/LG-03-state-reducers-command-send.md,LG-03,"LangGraph — State, Reducers, Command & Send",LG,LangGraph,1,current,langgraph 1.x,2026-08-13,6,LG-03.1;LG-03.2;LG-03.3;LG-03.4;LG-03.5;LG-03.6,666,state;reducers;Annotated;add_messages;MessagesState;Command;Send;map-reduce;fan-out;InvalidUpdateError
langgraph/LG-04-persistence-and-checkpointers.md,LG-04,LangGraph — Persistence & Checkpointers,LG,LangGraph,1,current,"langgraph 1.x, langgraph-checkpoint 4.x",2026-08-13,6,LG-04.1;LG-04.2;LG-04.3;LG-04.4;LG-04.5;LG-04.6,736,checkpointer;persistence;thread_id;InMemorySaver;SqliteSaver;PostgresSaver;get_state;TTL;connection-pool
langgraph/LG-05-memory-short-and-long-term.md,LG-05,LangGraph — Memory (short-term & long-term),LG,LangGraph,1,current,langgraph 1.x,2026-08-13,6,LG-05.1;LG-05.2;LG-05.3;LG-05.4;LG-05.5;LG-05.6,715,memory;Store;InMemoryStore;namespaces;semantic-search;trim_messages;RemoveMessage;summarization;TTL
langgraph/LG-06-streaming.md,LG-06,LangGraph — Streaming,LG,LangGraph,1,current,"langgraph 1.x; StreamPart format version=""v2""",2026-08-13,5,LG-06.1;LG-06.2;LG-06.3;LG-06.4;LG-06.5,666,streaming;stream_mode;values;updates;messages;custom;debug;checkpoints;tasks;get_stream_writer;subgraphs;StreamPart
langgraph/LG-07-human-in-the-loop-interrupts.md,LG-07,LangGraph — Human-in-the-Loop & Interrupts,LG,LangGraph,1,current,langgraph 1.x,2026-08-13,6,LG-07.1;LG-07.2;LG-07.3;LG-07.4;LG-07.5;LG-07.6,848,interrupt;human-in-the-loop;HITL;Command;resume;breakpoints;idempotency;time-travel;gotchas
langgraph/LG-08-subgraphs.md,LG-08,LangGraph — Subgraphs,LG,LangGraph,1,current,langgraph 1.x,2026-08-13,6,LG-08.1;LG-08.2;LG-08.3;LG-08.4;LG-08.5;LG-08.6,728,subgraphs;checkpointer-modes;shared-state;namespace-isolation;multi-agent;parallel-conflicts
langgraph/LG-09-functional-api-durable-execution.md,LG-09,LangGraph — Functional API & Durable Execution,LG,LangGraph,1,current,langgraph 1.x,2026-08-13,6,LG-09.1;LG-09.2;LG-09.3;LG-09.4;LG-09.5;LG-09.6,974,functional-api;entrypoint;task;durable-execution;determinism;replay;checkpointing;Pregel
langgraph/LG-10-deployment-cli-platform.md,LG-10,"LangGraph — Deployment, CLI & Platform",LG,LangGraph,1,current,"langgraph-cli 0.4.31, langgraph-sdk 0.4.2",2026-08-13,6,LG-10.1;LG-10.2;LG-10.3;LG-10.4;LG-10.5;LG-10.6,721,deployment;langgraph.json;cli;langgraph-dev;docker;platform;ttl;auth;http;python_version
shared/SH-01-package-and-version-matrix.md,SH-01,Package & Version Matrix (verified from PyPI),SH,both,1,current,as-published 2026-08-13,2026-08-13,5,SH-01.1;SH-01.2;SH-01.3;SH-01.4;SH-01.5,894,packages;versions;pypi;python-version;ecosystem;dependencies
shared/SH-02-versioning-and-migration.md,SH-02,"Versioning Policy, Release History & Migration",SH,both,1,current,"LangChain 1.x / LangGraph 1.x, LTS policy",2026-08-13,6,SH-02.1;SH-02.2;SH-02.3;SH-02.4;SH-02.5;SH-02.6,811,versioning;semver;lts;migration;breaking-changes;langchain-classic;AgentExecutor;deprecation
shared/SH-03-mcp-integration-and-servers.md,SH-03,MCP Integration & LangChain's Official MCP Servers,SH,both,1,current,"langchain-mcp-adapters 0.3.2, mcpdoc",2026-08-13,7,SH-03.1;SH-03.2;SH-03.3;SH-03.4;SH-03.5;SH-03.6;SH-03.7,746,mcp;model-context-protocol;MultiServerMCPClient;load_mcp_tools;mcpdoc;llms-txt;stdio;streamable-http;transports
shared/SH-04-language-support.md,SH-04,Language Support — Official vs Community,SH,both,1,current,2026-08,2026-08-13,6,SH-04.1;SH-04.2;SH-04.3;SH-04.4;SH-04.5;SH-04.6,680,python;javascript;typescript;java;go;langchain4j;langchaingo;parity;ports
shared/SH-05-observability-and-evaluation.md,SH-05,Observability & Evaluation (LangSmith),SH,both,1,current,langsmith 0.10.18,2026-08-13,6,SH-05.1;SH-05.2;SH-05.3;SH-05.4;SH-05.5;SH-05.6,762,langsmith;tracing;observability;evaluation;datasets;evaluators;llm-as-judge;experiments;monitoring
shared/SH-06-security-advisories-cves.md,SH-06,Security Advisories & CVEs (2025-2026),SH,both,1,current,"langchain-core <1.2.22, langgraph-checkpoint <4.0.0, and related",2026-08-13,7,SH-06.1;SH-06.2;SH-06.3;SH-06.4;SH-06.5;SH-06.6;SH-06.7,1128,security;cve;vulnerability;advisory;patching;deserialization;path-traversal;sql-injection;multi-tenancy
shared/SH-07-error-reference-and-troubleshooting.md,SH-07,Error Reference & Troubleshooting,SH,both,2,current,langgraph 1.x,2026-08-13,5,SH-07.1;SH-07.2;SH-07.3;SH-07.4;SH-07.5,844,errors;troubleshooting;GraphRecursionError;InvalidUpdateError;EmptyChannelError;debugging;ErrorCode;serialization
shared/SH-08-github-issues-solved-and-open.md,SH-08,GitHub Issues — Solved & Ongoing,SH,both,1,current,sampled 2026-08-13,2026-08-13,7,SH-08.1;SH-08.2;SH-08.3;SH-08.4;SH-08.5;SH-08.6;SH-08.7,930,github-issues;bugs;solved;open;known-limitations;sampling-caveat
shared/SH-09-community-forums-learning.md,SH-09,"Community, Forums & Learning Resources",SH,both,1,current,2026-08,2026-08-13,8,SH-09.1;SH-09.2;SH-09.3;SH-09.4;SH-09.5;SH-09.6;SH-09.7;SH-09.8,789,forum;community;academy;tutorials;courses;discussions;slack;learning-path
shared/SH-10-criticism-and-production-reality.md,SH-10,Criticism & Production Reality (cross-verified),SH,both,2,current,2024-2026 discourse,2026-08-13,6,SH-10.1;SH-10.2;SH-10.3;SH-10.4;SH-10.5;SH-10.6,1048,criticism;abstraction;debugging;cost;octomind;hacker-news;adoption;tradeoffs;fit
shared/SH-11-must-knows-checklist.md,SH-11,Must-Knows Checklist,SH,both,1,current,LangChain 1.x / LangGraph 1.x,2026-08-13,5,SH-11.1;SH-11.2;SH-11.3;SH-11.4;SH-11.5,1001,checklist;must-know;gotchas;summary;best-practices;quickref
